ID,FileName,GroupID,TotPointCnt,EdgePointCnt,Max.Length,Max.Width,Max.Height,Bulk,Act.Length.repr,Act.Length.cent,Act.Width,Act.Height,Avg.Refl,Min.Refl,Max.Refl,Std.Dev.Refl
1,./data/image_result_2D_1.mat,1,208,208,94.859,28.184,21.873,37617.941,111.399,110.860,21.414,18.519,33.817,33.603,34.120,0.159
2,./data/image_result_2D_1.mat,2,474,462,100.928,25.564,21.206,30009.699,113.056,114.733,21.239,14.000,33.893,33.602,34.252,0.162
3,./data/image_result_2D_1.mat,3,604,550,104.327,28.649,22.347,42247.895,114.628,114.532,28.577,14.171,33.992,33.602,34.277,0.173
4,./data/image_result_2D_2.mat,1,400,344,101.261,22.909,19.228,28481.766,110.106,112.024,21.075,13.346,34.089,33.895,34.407,0.117
5,./data/image_result_2D_2.mat,2,243,223,96.046,30.173,22.273,35176.344,103.295,105.357,22.066,16.598,34.115,33.893,34.480,0.136
6,./data/image_result_2D_2.mat,3,675,560,101.339,37.726,33.115,46359.574,110.386,110.236,30.925,14.793,34.400,33.895,34.658,0.158
7,./data/image_result_2D_2.mat,4,566,380,102.269,35.349,22.718,30286.850,112.186,114.198,31.092,9.525,34.365,33.901,34.662,0.165
8,./data/image_result_2D_3.mat,1,220,220,89.530,23.041,18.110,21939.742,98.626,97.734,20.312,12.065,33.954,33.648,34.384,0.218
9,./data/image_result_2D_3.mat,2,799,700,130.315,89.662,53.599,287321.344,176.299,179.075,78.166,28.207,33.960,33.646,34.293,0.161
10,./data/image_result_2D_3.mat,3,152,140,98.461,31.408,26.084,35007.254,116.806,107.314,24.858,14.303,33.920,33.655,34.250,0.156
11,./data/image_result_2D_3.mat,11,126,117,105.860,64.581,9.007,33619.480,147.086,141.634,37.410,8.489,34.076,33.989,34.234,0.065
12,./data/image_result_2D_4.mat,1,424,352,101.213,26.636,22.016,40187.066,113.785,110.803,21.070,18.844,35.105,34.777,35.414,0.149
13,./data/image_result_2D_4.mat,2,904,774,150.587,58.774,23.319,95535.633,161.091,161.137,39.962,15.876,35.166,34.776,35.553,0.154
14,./data/image_result_2D_4.mat,3,15,9,21.050,17.309,7.672,1005.885,21.544,25.607,16.413,2.911,34.853,34.775,34.972,0.065
15,./data/image_result_2D_5.mat,1,344,324,103.049,33.034,26.360,64836.785,111.135,110.456,26.791,23.485,36.059,35.738,36.300,0.139
16,./data/image_result_2D_6.mat,1,650,550,189.948,45.850,31.065,128587.297,226.606,220.124,37.831,17.894,34.294,34.044,34.678,0.149
17,./data/image_result_2D_6.mat,2,303,243,83.947,30.007,19.569,38705.055,101.942,93.388,30.007,15.365,34.363,34.044,34.761,0.178
18,./data/image_result_2D_6.mat,3,335,288,99.298,30.376,17.690,39723.629,115.084,115.494,30.376,13.170,34.350,34.045,34.624,0.145
19,./data/image_result_2D_6.mat,4,669,669,45.916,23.930,2.089,2137.271,51.303,53.558,23.230,2.004,34.482,34.310,34.943,0.226
20,./data/image_result_2D_7.mat,1,48,48,33.610,22.809,19.723,5567.766,36.887,36.803,21.887,7.569,36.367,36.105,36.545,0.124
21,./data/image_result_2D_7.mat,2,121,113,32.081,26.840,19.542,12927.507,39.644,39.847,26.710,15.087,36.455,36.109,36.641,0.122
22,./data/image_result_2D_8.mat,1,45,45,23.107,17.524,15.099,5454.863,25.343,27.298,14.364,16.434,34.170,33.981,34.403,0.138
23,./data/image_result_2D_8.mat,2,263,235,100.770,26.415,22.403,38436.312,109.020,117.882,22.174,17.201,34.148,33.981,34.481,0.115
